MoleFraction,Root,Converged,Iterations
0,0.290571649503219,1,5
0.01,-0.126377935426268,1,7
0.02,0.50014323077316,1,3
0.03,0.36001510489481,1,5
0.04,0.375994141869135,1,5
0.05,0.418597975848782,1,4
0.06,0.477581433442563,1,4
0.07,0.554938174959475,1,4
0.08,0.656282194847744,1,5
0.09,0.784973033305937,1,6
0.1,0.934151301933565,1,8
0.11,1.08818907016061,1,25
0.12,1.23341371362355,1,7
0.13,0.0741935624560371,1,5
0.14,0.164379967585091,1,5
0.15,0.220196356089269,1,5
0.16,0.255727066308292,1,5
0.17,0.274942753706536,1,5
0.18,0.277200525336369,1,5
0.19,0.257747009315259,1,5
0.2,0.205479854056037,1,5
0.21,0.0950746735479789,1,5
0.22,-0.150887389200546,1,6
0.23,1.43656582758622,1,81
0.24,1.36350699068686,1,10
0.25,1.3052348699764,1,7
0.26,1.26529280178003,1,6
0.27,1.2420548127929,1,6
0.28,1.23197427065338,1,6
0.29,1.23164272844644,1,5
0.3,1.23841217058573,1,5
0.31,1.25037421153601,1,5
0.32,1.26618308674826,1,5
0.33,1.2848885854371,1,5
0.34,1.30581223443065,1,5
0.35,1.32846219932354,1,5
0.36,1.35247609692252,1,5
0.37,1.3775825977198,1,5
0.38,1.40357541779442,1,5
0.39,1.43029547164622,1,5
0.4,1.45761844390133,1,5
0.41,1.48544600321491,1,5
0.42,1.51369949855701,1,5
0.43,1.54231537203431,1,5
0.44,1.57124177580812,1,5
0.45,1.60043604544298,1,5
0.46,1.6298627905204,1,5
0.47,1.65949243575283,1,5
0.48,1.68930009479561,1,5
0.49,1.71926469250412,1,5
0.5,1.74936827466627,1,5
0.51,1.77959546059578,1,5
0.52,1.8099330055956,1,4
0.53,1.84036944865331,1,4
0.54,1.87089482679568,1,4
0.55,1.90150044197748,1,4
0.56,1.93217866967304,1,4
0.57,1.96292280079848,1,4
0.58,1.9937269104455,1,4
0.59,2.02458574831456,1,4
0.6,2.05549464681154,1,4
0.61,2.08644944360172,1,4
0.62,2.11744641605843,1,4
0.63,2.14848222554643,1,4
0.64,2.17955386987526,1,4
0.65,2.21065864257,1,4
0.66,2.24179409785512,1,4
0.67,2.27295802044566,1,4
0.68,2.30414839939926,1,4
0.69,2.33536340541145,1,4
0.7,2.36660137104067,1,4
0.71,2.39786077343513,1,4
0.72,2.4291402192025,1,4
0.73,2.46043843112126,1,4
0.74,2.49175423643943,1,4
0.75,2.52308655654546,1,4
0.76,2.55443439782865,1,4
0.77,2.58579684357358,1,4
0.78,2.61717304675554,1,4
0.79,2.64856222362331,1,4
0.8,2.67996364797127,1,4
0.81,2.71137664601679,1,4
0.82,2.74280059181004,1,4
0.83,2.77423490311327,1,4
0.84,2.80567903769492,1,4
0.85,2.83713248999093,1,4
0.86,2.86859478809197,1,4
0.87,2.90006549102004,1,4
0.88,2.93154418626315,1,4
0.89,2.96303048753982,1,4
0.9,2.99452403276924,1,4
0.91,3.02602448222536,1,4
0.92,3.05753151685593,1,4
0.93,3.08904483674969,1,4
0.94,3.12056415973682,1,4
0.95,3.15208922010926,1,4
0.96,3.18361976744947,1,4
0.97,3.2151555655568,1,4
0.98,3.24669639146245,1,4
0.99,3.27824203452449,1,4
1,3.30979229559552,1,4
